estado,ADJ,ADP,ADV,AUX,CCONJ,DET,INTJ,NOUN,NUM,PART,PRON,PROPN,PUNCT,SCONJ,SYM,VERB,X
"ADJ,ADJ",0.012446799837585835,0.15029233381858645,0.016370798449583574,0.017102742475122713,0.07265806095598394,0.002985333279821831,0.0008068791835905461,0.020693595625260932,0.001532700388183863,0.0008065686745819104,0.016543148688989977,0.01143464039259454,0.6458202496981499,0.008979567671285325,0.0011870397094951438,0.019363604143426402,0.0009759071638351785
"ADJ,ADP",0.003561678200291946,0.000991121319314187,0.012803486902896632,0.0046246238829775735,0.00046028743895078623,0.6216962450999308,0.000156201693070822,0.12861233390919652,0.024696413640898484,0.00015506553347532096,0.1008472193066725,0.03608264672033012,0.005610641392410668,0.007319668036411263,0.002576875850779475,0.04964094383759279,0.0001645463647324565
"ADJ,ADV",0.07146954631823793,0.2658199074979501,0.08078305957546635,0.15417843635047465,0.006264796688717205,0.009693940488399295,0.0013304577064900099,0.0029068678527690074,0.0034684721980114026,0.001321150719211552,0.033685807045812324,0.002093424286149864,0.11358148264481409,0.012464349253591241,0.0023867520697044486,0.23688404899420412,0.0016674796354863358
"ADJ,AUX",0.15467466881501843,0.13361979969947546,0.06301487866571574,0.039910032528472826,0.0024356107097355676,0.27042535907429005,0.0013301264821205957,0.024655880443404634,0.004104728157499679,0.0013255524046378942,0.06534627611365705,0.004115561552803945,0.008455395736257526,0.02702644140925514,0.009082685261692964,0.18908207234273183,0.0013949192279055838
"ADJ,CCONJ",0.3695072782885074,0.13686728837054574,0.06432867367504999,0.01095463249713807,0.001342012940983749,0.10350524631211531,0.0007340856519504702,0.07656478842908661,0.005660738473771329,0.0007176573865190862,0.027586659051974566,0.002761255711771164,0.042239451373235905,0.014495316811323386,0.0008668859442884435,0.1394859432758972,0.0023820828091867903
"ADJ,DET",0.00918532905299635,0.03778492894212385,0.012069237861864476,0.014244948936529315,0.01124193218403272,0.04789113268976916,0.004445041802639763,0.6629669039150975,0.010882365358728904,0.004420021506401509,0.03532982335443783,0.02056069517611356,0.07493186473753005,0.01871728169998837,0.012417248501507171,0.01565061990174458,0.007260570523965032
"ADJ,INTJ",0.03432075144433357,0.1080285680135601,0.058891235617547624,0.05994159231755715,0.12348733756627409,0.0669736128850581,0.01939829758168263,0.024844794866588343,0.03230788605929008,0.019319393345730327,0.06414147293623726,0.029343340109489156,0.20942530995174838,0.05406976712560364,0.030869835181038505,0.04302195756341926,0.021614019383851057
"ADJ,NOUN",0.05542913219625249,0.44955648533929815,0.013266440751228778,0.035347185804128455,0.020257323776814655,0.00392648508263107,0.00010636537140960411,0.0008092049200152489,0.005316598373821915,0.00010366604330131787,0.024936054029372604,0.0018254147846352086,0.3592834168317071,0.00242833673582191,0.00013492228139679255,0.02712771905465938,0.00014524740824212762
"ADJ,NUM",0.004881476692570834,0.014003707282427972,0.007591576052487408,0.008597476947455416,0.05540395033531705,0.004699780088210054,0.0024065933680230784,0.7787902210908263,0.005995700281362966,0.0023900150659407595,0.0059441198855434306,0.010088886103925497,0.04813241405238935,0.005440368478708931,0.028973996232808507,0.013531680616439605,0.0031280023630277137
"ADJ,PART",0.03445630655355209,0.10850306584244099,0.05912283899895896,0.060212230360131035,0.1240530657404132,0.06727967254862065,0.01948094605099101,0.0249434641049307,0.032450430406041335,0.019401687942499208,0.06442986590913839,0.02947201372069192,0.20595433820728123,0.05431347644288136,0.03100473498269495,0.04321649566691699,0.021704535695423067
"ADJ,PRON",0.015352092224340214,0.044723434160065516,0.11997516697865064,0.11429991133928474,0.0063708045840288555,0.0915217930589694,0.0019523126608801563,0.0028074843319830832,0.0037608760107138784,0.00197138051939472,0.06152477493133389,0.0026073514692764323,0.016527751792277567,0.004674248200372083,0.0024065420493952078,0.5074369397569057,0.0020871154934718234
"ADJ,PROPN",0.00454721007081927,0.09503381412593832,0.007144512233074155,0.02422120239646543,0.018275629518002767,0.013874161762312109,0.0016808488521428367,0.0021529614335162395,0.0034609232033470973,0.0016956378460611318,0.00554144713533757,0.3715776289964904,0.3909762290131426,0.010544198053569202,0.0019498374310740628,0.04549553058192612,0.001828193329121564
"ADJ,PUNCT",0.03277242515010393,0.17626727107766824,0.06779841574372139,0.041342062487917844,0.13557445478709731,0.12851948793817813,0.000962872784042383,0.025684479883267754,0.005369537587140898,0.0001978295743222203,0.07839803317766907,0.026730862849807583,0.12407762914465119,0.026380048904173954,0.004949351706880853,0.12467220847802515,0.00030302789212679544
"ADJ,SCONJ",0.017802091771236636,0.013049540180698758,0.1196544486464321,0.055361148523335846,0.004523079926816675,0.39075195967455884,0.0021159514890542476,0.015613141474735543,0.003166527726925112,0.00214262582714487,0.19051132972644255,0.012620088470711511,0.06739576094972652,0.0035697505056161084,0.0022557022224701326,0.09728183953628824,0.00218499844545608
"ADJ,SYM",0.02471284655964983,0.14207017402929062,0.04851595954380444,0.040249942735442676,0.10407995011309414,0.041920486411642456,0.013131211865467764,0.01702355456607945,0.19069092390951367,0.013024153017213614,0.04276652994927832,0.02576222305900039,0.18732322262087234,0.0353798267185269,0.021443853933939667,0.036790277012778344,0.015114404062844642
"ADJ,VERB",0.0035469156301473313,0.30612481092186383,0.07416348669176615,0.034113676172066905,0.0029181658282426376,0.23986239772037485,0.0005347521318449498,0.11085967977054087,0.02696078557001352,0.0005340227931304257,0.0656803582289736,0.004712129538542035,0.05259897122144579,0.046888527866954355,0.0007888571370515134,0.02909197848884823,0.000620476211581061
"ADJ,X",0.02679278875414072,0.20022959172845567,0.044166417472304535,0.05252482305304307,0.17045917793722593,0.044780907962022824,0.013347384219402712,0.019603614014271326,0.021927638535538377,0.013379443831973037,0.04250745741495609,0.05786634828077813,0.13593398895676087,0.038645171347714696,0.019944526757088667,0.034796622939533,0.06309363926328447
"ADP,ADJ",0.005556001387842566,0.08832251868703807,0.0028684000865988528,0.008655579985821319,0.0410114152568129,0.005664329190530434,0.0007692170595504922,0.6203996674487303,0.0030112838434703756,0.000764643710473621,0.002673158146399588,0.005288945239980377,0.20008610594603618,0.002445550541549484,0.004183397156462406,0.007409161910134756,0.0008906166109318353
"ADP,ADP",0.0107986930926021,0.02650247733304561,0.04279730910705988,0.011933045067343,0.021238910777310965,0.46883536630985767,0.005360525540142303,0.04489963920203868,0.250038647931266,0.005280926995268853,0.027559409319321243,0.021428609240231343,0.020752655907011936,0.0122948159317235,0.013432012021926707,0.01095044962842707,0.005896472268469478
"ADP,ADV",0.013193939989601071,0.27608995316172735,0.0377873871160949,0.055305494255746684,0.024568517500690258,0.06433152775483987,0.0006380458476673268,0.0022817683456572975,0.0698422275968328,0.0006332818534097683,0.023541691342484114,0.0008493492532449893,0.2938119653414833,0.013868180330562982,0.0010330367176994628,0.1214905007582493,0.0007331294414711526
"ADP,AUX",0.07947704902972264,0.02099013205296908,0.17142494588730398,0.007972817739149507,0.00642048730149259,0.19459342616323533,0.0016029937452717595,0.08070391395902454,0.01565478344081333,0.0015856148097041242,0.03228587535558298,0.00589992629300914,0.016386631426775718,0.004103196187851571,0.0032231779258243675,0.3558983526759959,0.0017766661433031832
"ADP,CCONJ",0.04893179113597529,0.25394973791948583,0.05831160173719848,0.04835370976301993,0.07165357947854543,0.059054813605061256,0.014810793618009974,0.03900860450410264,0.04916348644656113,0.014626365415173967,0.05352950103686834,0.0384800482775987,0.08840151804965017,0.057290425573230906,0.038078118643198926,0.03756429276721481,0.028791499758246256
"ADP,DET",0.037471276754182596,0.0005404773023646601,0.0017839580949830542,0.00017968617896626761,0.00018715064699895828,0.028703111232593982,2.8791769765131044e-05,0.7308368782230589,0.010883830731348174,2.8507687910446946e-05,0.007397428486134057,0.17292759942806216,0.004898900003832988,0.00016978122266245106,0.0002963803283276496,0.002619345806877894,0.0010468960079003746
"ADP,INTJ",0.030155686069717375,0.09000723160175954,0.06263694629004962,0.058089780412531405,0.15871693150834676,0.07000886973461286,0.016702598475197897,0.022334871520813347,0.035032713401072973,0.016707210719913112,0.06032429177663067,0.024029780342867683,0.18091201281342392,0.04982286167726121,0.07178528140066746,0.03394036314351015,0.0187923133392621
"ADP,NOUN",0.09614988116078396,0.3831943474606618,0.015687723087384656,0.014514534534105733,0.0828653485053347,0.004901062929219692,3.2679431563122624e-05,0.0011194682170643522,0.0006026131858856492,3.239569713697856e-05,0.015080593547189377,0.0008441209706339096,0.36513452165948684,0.0024156782399016494,5.964698330726634e-05,0.01727004245033205,9.53416675211212e-05
"ADP,NUM",0.0013260806840277816,0.11693164009730236,0.0007646799626880208,0.006704151779114011,0.05155115342309401,0.003440714298869601,0.00013388581466228892,0.2387654742409095,0.02438569965765317,0.00013408998642631698,0.001653794831323967,0.000421058000978701,0.40283917226586163,0.000318731776910904,0.1462991443788348,0.004173191690731991,0.00015733592535078982
"ADP,PART",0.030439483181668846,0.09090156964345432,0.0632479605075915,0.058640421994261116,0.16029952118750937,0.0707087049104793,0.01685543280177717,0.02251503831836681,0.03536620443489395,0.016860106456193315,0.06091598686820711,0.02422849388106061,0.17299302468848096,0.0503000340762695,0.0724927566885704,0.034272166026039066,0.01896283631664974
"ADP,PRON",0.01435822770958742,0.07592895673036937,0.04534482990938935,0.036905556765414724,0.02172898817443903,0.07018186293711949,0.00018844062811792573,0.004013713202105852,0.0002931440821615994,0.00018591731188063359,0.18952503862873743,0.001571201711018058,0.39892583744763105,0.007809892761652703,0.0003073233199868031,0.13252678288800085,0.00020428491017372645
"ADP,PROPN",0.0016774966486029603,0.09016026190034943,0.013332972010222216,0.01898939915147931,0.08947149496213988,0.003249426300547927,0.00011257757413112353,0.00042961195445853905,0.0005054446308534999,0.00011211513080277335,0.0046015763258025,0.24959101905264064,0.5041934593009056,0.0032136942933557017,0.0003581284748717877,0.019880553526526325,0.00012076759020586804
"ADP,PUNCT",0.033743099044692894,0.018355065774453883,0.030957195994711258,0.003966223520696699,0.006315253522991954,0.06710146407528299,0.011504948266752203,0.12999714016303415,0.021859548937888825,0.0021685131243124934,0.0036544591521462787,0.5332969585271147,0.011205986731155812,0.003480070147806538,0.005590424193436778,0.03687104943913681,0.07993259114017845
"ADP,SCONJ",0.0019442365360926995,0.009616565653940552,0.04170249712536968,0.044728158958526894,0.007759428264506197,0.6018307069102068,0.0010189098492960438,0.010698868476914597,0.0019133507515222614,0.0010114188616756447,0.12037879894681493,0.02697496604939086,0.03914113886171183,0.006163494427438656,0.0019965199353887426,0.0820239536915483,0.0010969794067619831
"ADP,SYM",0.001621059347322571,0.0061673749034679565,0.0028087206148872906,0.002544590492612753,0.005890775163414807,0.007106818111934124,0.0013563622573501352,0.001176325379591876,0.9360026098990009,0.0013495968882037944,0.0025882706637104006,0.0016529049332994685,0.021789689076045993,0.0023274618447306507,0.0025590106445501095,0.0017188476424106962,0.0013395742257236146
"ADP,VERB",0.006380854801902585,0.22203572549269673,0.024595295186962605,0.0027072024844652506,0.014484572158800765,0.4593227975132295,0.00011628884598822283,0.06758168859481506,0.00390666044142888,0.0001158559178055896,0.05417663956009655,0.005270930598153088,0.11000417887492953,0.022487783490475394,0.0027047777544072565,0.0039519852580706515,0.00015676178908561282
"ADP,X",0.016840939662544973,0.0602487941284259,0.03676580613411953,0.03658129196728855,0.08402467428205537,0.03578638711924597,0.008956299814873062,0.012321752534782297,0.017654417794877537,0.008930110701382384,0.031170030140265634,0.02015338725529188,0.27329787277228557,0.026022117072130837,0.030893068631031737,0.02048200425270848,0.2798709148229314
"ADV,ADJ",0.001805622432776753,0.3053185428296633,0.009902970649746977,0.01415204551151527,0.08929977839000142,0.006127957582098698,0.00012424816013407072,0.011062511359582203,0.0002873483717801752,0.00012337887095190364,0.003235716820206811,0.0004960075352026731,0.5160543692235221,0.03169696178446483,0.00017868482069415166,0.009826918192278463,0.0003069354871910729
"ADV,ADP",0.005467173200263935,0.001993906787170705,0.009898158656747076,0.01027281555345884,0.0005001518984791134,0.5576928939407354,0.00024223576751584535,0.08959881687784241,0.12562339419480198,0.00024034900069118674,0.08499251925745811,0.019665202258463285,0.0066918622625714115,0.0018368081774150088,0.02930210900745056,0.055454075220071716,0.0005275269759796367
"ADV,ADV",0.11014825515378207,0.24462465280876017,0.02084567818233522,0.12357002867243298,0.0077186543054772305,0.02313733467678594,0.000677944681104711,0.0013719560547968295,0.007046519442152059,0.0006617538075881791,0.040630188183793645,0.001757935792382178,0.19515217524626527,0.0158207329041167,0.0008624392901076937,0.2051574420289828,0.0008163052293082134
"ADV,AUX",0.19523199413422873,0.1302939322583263,0.082500517403886,0.023512492073225047,0.0038413935085337193,0.1470888563209706,0.0005205453267578667,0.06854155646395488,0.006842270767253874,0.0005146265691863972,0.028404888552857645,0.0029324604164000074,0.021838123566907192,0.010583526953039803,0.0007707506915365819,0.27601999663448346,0.0005620665753217079
"ADV,CCONJ",0.010101636908590821,0.09117924287134531,0.3094171838559457,0.07172016319855717,0.010782569500333544,0.060664052556739304,0.003810052377428792,0.020765978750245735,0.009914449115409282,0.0037464301969333596,0.12301636816001368,0.007762044169558105,0.015277587592198055,0.012489014289996296,0.004612939555729589,0.2387166555825615,0.00602361258881218
"ADV,DET",0.02953793653112133,0.008572825615334727,0.004085241040749148,0.00260708974705233,0.0022465062346115052,0.052178578995963176,0.001134910002150899,0.7818822273566659,0.017220602513844795,0.0011253815616407087,0.011376532122853989,0.07080618648123721,0.005706472706738279,0.004473842327024305,0.002387024047490915,0.0027628990340857747,0.001895739239503315
"ADV,INTJ",0.024758215017475615,0.11332741725263368,0.070873511203699,0.06604694702639247,0.13051106126385825,0.07669389355048259,0.016573797678713857,0.029092226949161356,0.027036946184732437,0.016513289649315543,0.07083910944619048,0.02349111246357151,0.19371803569911653,0.058663332609381745,0.02576649337808211,0.037218286097217015,0.01887596200560035
"ADV,NOUN",0.05236163768372145,0.5057665043027681,0.012925023337532768,0.00468963594221272,0.12329997076696246,0.004632352301365499,0.0012112383549826447,0.003095145437332544,0.007793903887924131,0.0011867496817823521,0.014389309037461322,0.011751099535991844,0.2196929206671378,0.016745532454047744,0.0019357744635660609,0.016584123901349897,0.0019390540717796568
"ADV,NUM",0.007687666409343692,0.04103821266888051,0.002814811300759356,0.0071243293494940895,0.021152993532398218,0.0032523800883318753,0.0012421581810848567,0.7270718688734061,0.012076154736239889,0.0012434312148813128,0.0034758197147321777,0.008527042955447903,0.028496782912093118,0.002674994148237082,0.12530475055801898,0.005204403817804502,0.0016121860730785123
"ADV,PART",0.024916819999643038,0.11408758712703745,0.07134547656171322,0.06649417387632062,0.13139897227689756,0.07721529831429702,0.01668312890755066,0.029282466455877572,0.027217920093152805,0.01662221098756719,0.07131837404594636,0.02364758676093373,0.1883014109255894,0.059060357694759924,0.025938243151079055,0.0374699384721582,0.018999669821168488
"ADV,PRON",0.012391254671783385,0.05172914783385751,0.04564356990599625,0.029677547303374904,0.004507622295161943,0.011400913187761782,0.0016010518293148059,0.002478459580590084,0.002174273402834231,0.0015845199130776037,0.07200125485842439,0.002146707021170829,0.05682208150498812,0.004130955240349151,0.0019783272495814516,0.6980637281750891,0.0016685811037494697
