estado,pi
"PART,PART",1.2514667542426711e-05
"PART,PRON",5.135283312355768e-05
"PART,PROPN",2.0499876595293516e-05
"PART,PUNCT",8.443113520975042e-05
"PART,SCONJ",3.504499867704373e-05
"PART,SYM",1.4771217721448553e-05
"PART,VERB",3.17700389031023e-05
"PART,X",1.3027472285106096e-05
"PRON,ADJ",0.0016320116531987
"PRON,ADP",0.0038401441493039
"PRON,ADV",0.0142485120948637
"PRON,AUX",0.0162851940726144
"PRON,CCONJ",0.0004343477161676
"PRON,DET",0.0011724263950873
"PRON,INTJ",4.848882296561909e-05
"PRON,NOUN",7.557084741713166e-05
"PRON,NUM",6.153305087693143e-05
"PRON,PART",4.762723316794425e-05
"PRON,PRON",0.0085066023311874
"PRON,PROPN",8.343447605754401e-05
"PRON,PUNCT",0.0023899769498609
"PRON,SCONJ",0.0015048024007688
"PRON,SYM",5.074223882711352e-05
"PRON,VERB",0.0361260061736669
"PRON,X",4.802423874709015e-05
"PROPN,ADJ",0.0001147121887885
"PROPN,ADP",0.0010565656399421
"PROPN,ADV",0.0035864837098838
"PROPN,AUX",0.0043982518917558
"PROPN,CCONJ",0.0026294475978897
"PROPN,DET",3.817238014036333e-05
"PROPN,INTJ",2.3239940637612664e-05
"PROPN,NOUN",2.73340011650055e-05
"PROPN,NUM",0.000101486621347
"PROPN,PART",2.330247327630769e-05
"PROPN,PRON",0.0003434376665089
"PROPN,PROPN",0.0059300454285811
"PROPN,PUNCT",0.0042615228240735
"PROPN,SCONJ",5.473872300657817e-05
"PROPN,SYM",3.525355589438564e-05
"PROPN,VERB",0.0114931394842085
"PROPN,X",2.3979806349481058e-05
"PUNCT,ADJ",0.0001702437353438
"PUNCT,ADP",0.0041257554944053
"PUNCT,ADV",0.0088578991679297
"PUNCT,AUX",0.0050299480156805
"PUNCT,CCONJ",0.0015719168959124
"PUNCT,DET",0.0097384495691801
"PUNCT,INTJ",0.0003331637105649
"PUNCT,NOUN",0.0006610792445783
"PUNCT,NUM",0.0001295540744226
"PUNCT,PART",3.876716585521028e-05
"PUNCT,PRON",0.0060797923662043
"PUNCT,PROPN",0.0025788151277769
"PUNCT,PUNCT",0.0001624727089437
"PUNCT,SCONJ",0.0005466887560042
