estado,pi
"PART,DET",3.6532807805408504e-05
"PART,INTJ",1.2372723905938877e-05
"PART,NOUN",1.5365667879402376e-05
"PART,NUM",1.7563004033888035e-05
"PART,PART",1.2514667542426711e-05
"PART,PRON",5.135283312355768e-05
"PART,PROPN",2.0499876595293513e-05
"PART,PUNCT",8.443113520975042e-05
"PART,SCONJ",3.504499867704373e-05
"PART,SYM",1.4771217721448551e-05
"PART,VERB",3.17700389031023e-05
"PART,X",1.3027472285106095e-05
"PRON,ADJ",0.0016320116531987126
"PRON,ADP",0.0038401441493039917
"PRON,ADV",0.014248512094863799
"PRON,AUX",0.016285194072614452
"PRON,CCONJ",0.00043434771616766474
"PRON,DET",0.001172426395087385
"PRON,INTJ",4.8488822965619094e-05
"PRON,NOUN",7.557084741713166e-05
"PRON,NUM",6.153305087693143e-05
"PRON,PART",4.762723316794425e-05
"PRON,PRON",0.00850660233118749
"PRON,PROPN",8.343447605754401e-05
"PRON,PUNCT",0.0023899769498609384
"PRON,SCONJ",0.0015048024007688864
"PRON,SYM",5.074223882711352e-05
"PRON,VERB",0.03612600617366696
"PRON,X",4.8024238747090145e-05
"PROPN,ADJ",0.00011471218878850033
"PROPN,ADP",0.0010565656399421672
"PROPN,ADV",0.0035864837098838697
"PROPN,AUX",0.004398251891755861
"PROPN,CCONJ",0.002629447597889753
"PROPN,DET",3.817238014036333e-05
"PROPN,INTJ",2.3239940637612664e-05
"PROPN,NOUN",2.73340011650055e-05
"PROPN,NUM",0.00010148662134708556
"PROPN,PART",2.330247327630769e-05
"PROPN,PRON",0.0003434376665089431
"PROPN,PROPN",0.005930045428581126
"PROPN,PUNCT",0.004261522824073507
"PROPN,SCONJ",5.473872300657817e-05
"PROPN,SYM",3.525355589438564e-05
"PROPN,VERB",0.011493139484208513
"PROPN,X",2.3979806349481058e-05
"PUNCT,ADJ",0.00017024373534387733
"PUNCT,ADP",0.004125755494405344
"PUNCT,ADV",0.00885789916792976
"PUNCT,AUX",0.005029948015680591
"PUNCT,CCONJ",0.001571916895912415
"PUNCT,DET",0.009738449569180109
"PUNCT,INTJ",0.0003331637105649409
"PUNCT,NOUN",0.0006610792445783312
"PUNCT,NUM",0.0001295540744226514
"PUNCT,PART",3.876716585521028e-05
"PUNCT,PRON",0.006079792366204306
"PUNCT,PROPN",0.0025788151277769586
"PUNCT,PUNCT",0.00016247270894375983
"PUNCT,SCONJ",0.0005466887560042254
"PUNCT,SYM",4.934734749657115e-05
"PUNCT,VERB",0.004929911096960607
"PUNCT,X",7.56911418588828e-05
"SCONJ,ADJ",0.00034356137855147444
"SCONJ,ADP",0.0004953699440625156
"SCONJ,ADV",0.0025635327585712205
"SCONJ,AUX",0.001179296487195887
"SCONJ,CCONJ",0.00010079001675361633
"SCONJ,DET",0.007408560161011504
"SCONJ,INTJ",3.34170511877054e-05
"SCONJ,NOUN",0.000214846287752369
"SCONJ,NUM",0.00013819700688220637
"SCONJ,PART",3.2746429967167896e-05
"SCONJ,PRON",0.003495234573627065
"SCONJ,PROPN",0.0010932120804731371
"SCONJ,PUNCT",0.00036111125519401594
"SCONJ,SCONJ",0.000245912276305054
"SCONJ,SYM",3.282833682390864e-05
"SCONJ,VERB",0.003244070214483056
"SCONJ,X",3.2168723970426585e-05
"SYM,ADJ",1.9438409332648773e-05
"SYM,ADP",8.123779808956165e-05
"SYM,ADV",3.711653988352206e-05
"SYM,AUX",3.7174826392723803e-05
"SYM,CCONJ",7.778442092655382e-05
"SYM,DET",3.5086226140494123e-05
"SYM,INTJ",1.2091214378051427e-05
"SYM,NOUN",1.479871369647301e-05
"SYM,NUM",2.6376510843282022e-05
"SYM,PART",1.22299284519629e-05
"SYM,PRON",5.018443141038636e-05
"SYM,PROPN",2.143230157296374e-05
"SYM,PUNCT",7.793862029059737e-05
"SYM,SCONJ",3.4012891127575755e-05
"SYM,SYM",1.4435136632215556e-05
"SYM,VERB",3.100043363227965e-05
"SYM,X",1.2731065640908145e-05
"VERB,ADJ",0.0012430599047719322
"VERB,ADP",0.012638820687255742
"VERB,ADV",0.006420151920840951
"VERB,AUX",0.0007296946371794448
"VERB,CCONJ",0.000489779022940146
"VERB,DET",0.010410183471577676
"VERB,INTJ",1.804229660998219e-05
"VERB,NOUN",0.002118689055651045
"VERB,NUM",0.0022136352790594347
"VERB,PART",1.8211500170103708e-05
"VERB,PRON",0.007438359082468971
"VERB,PROPN",0.00011824789486501105
"VERB,PUNCT",0.0029446207589685063
"VERB,SCONJ",0.00602933153032133
"VERB,SYM",0.00015622663587007646
"VERB,VERB",0.0017347509745993515
"VERB,X",2.1282043649834958e-05
"X,ADJ",1.9604149972063906e-05
"X,ADP",6.701316893717244e-05
"X,ADV",3.749708164183617e-05
"X,AUX",3.937414555914059e-05
"X,CCONJ",8.581397500687066e-05
"X,DET",3.6211626340503194e-05
"X,INTJ",1.2280941899726953e-05
"X,NOUN",1.5570021427545602e-05
"X,NUM",1.744282188743066e-05
"X,PART",1.241993123757751e-05
"X,PRON",5.092320470286413e-05
"X,PROPN",2.434383593420169e-05
"X,PUNCT",7.37015748320477e-05
"X,SCONJ",3.47492789284348e-05
"X,SYM",1.4673427299689835e-05
"X,VERB",3.1954699679033664e-05
"X,X",3.658060663900761e-05
